Vg,Id
0.0,5.309961321e-15
0.05,2.737457295e-14
0.1,1.3992636259999998e-13
0.15,6.812646263e-13
0.2,3.1704160710000004e-12
0.25,1.3327902609999998e-11
0.3,4.4901772970000005e-11
0.35,1.1451275900000001e-10
0.4,2.2230739700000002e-10
0.45,3.650738651e-10
0.5,5.414256612e-10
0.55,7.558967606e-10
0.6,1.008139878e-09
0.65,1.266678619e-09
0.7,1.520801015e-09
0.75,1.743720107e-09
0.8,1.917699005e-09
0.85,2.0467652600000003e-09
0.9,2.124574853e-09
0.95,2.1724412e-09
1.0,2.195102347e-09
1.05,2.202953627e-09
1.1,2.206145997e-09
1.15,2.193520028e-09
1.2,2.179296407e-09
